
============================================================
ANALISIS: NVDA | C1_SQUEEZE_CALL | ENTRADA: 130.63 | TP: 132.13 | SL: 126.13
15:45 | 133.65 | 133.71 | 131.94 | 132.67 | 16075027 
16:00 | 132.67 | 133.15 | 132.11 | 132.61 | 10924948 
RESULTADO: EXITO
============================================================


============================================================
ANALISIS: NVDA | C1_SQUEEZE_CALL | ENTRADA: 129.91 | TP: 131.41 | SL: 125.41
Hora  |  Open  |  High  |  Low   |  Close |  Vol
17:00 | 120.88 | 121.28 | 120.71 | 121.28 | 4774570 
17:15 | 121.28 | 121.85 | 121.24 | 121.66 | 5655337 
17:30 | 121.66 | 121.88 | 121.52 | 121.65 | 3855766 
17:45 | 121.65 | 121.84 | 121.44 | 121.73 | 3340798 
18:00 | 121.73 | 122.48 | 121.65 | 122.38 | 6388312 
18:15 | 122.39 | 122.72 | 122.32 | 122.37 | 5319178 
18:30 | 122.38 | 122.60 | 122.33 | 122.44 | 2983103 
18:45 | 122.44 | 122.74 | 122.41 | 122.56 | 3805327 
19:00 | 122.57 | 122.93 | 122.33 | 122.67 | 5668517 
19:15 | 122.68 | 122.82 | 122.48 | 122.67 | 3088117 
19:30 | 122.67 | 122.75 | 122.47 | 122.54 | 2742351 
19:45 | 122.55 | 122.88 | 122.54 | 122.82 | 3462358 
20:00 | 122.82 | 122.94 | 122.54 | 122.65 | 3306740 
20:15 | 122.66 | 122.79 | 122.50 | 122.73 | 3078622 
20:30 | 122.73 | 122.85 | 122.57 | 122.77 | 3312341 
20:45 | 122.77 | 122.91 | 122.56 | 122.59 | 3871454 
21:00 | 122.59 | 123.00 | 122.48 | 122.87 | 5725866 
21:15 | 122.87 | 122.93 | 122.47 | 122.59 | 4520257 
21:30 | 122.58 | 122.59 | 122.07 | 122.31 | 6067556 
21:45 | 122.32 | 123.00 | 122.18 | 123.00 | 15150150 
15:30 | 124.98 | 126.57 | 124.47 | 126.52 | 22417763 
15:45 | 126.51 | 127.89 | 126.37 | 127.73 | 14998208 
16:00 | 127.73 | 128.88 | 127.47 | 128.78 | 17693826 
16:15 | 128.78 | 129.50 | 128.65 | 129.22 | 15984795 
16:30 | 129.22 | 129.69 | 128.92 | 129.35 | 11843157 
16:45 | 129.35 | 130.83 | 129.31 | 130.63 | 16300868 
17:00 | 130.63 | 130.64 | 129.55 | 129.59 | 12679730 [ENTRADA]
17:15 | 129.59 | 130.25 | 129.59 | 129.84 | 8731754 
17:30 | 129.84 | 130.35 | 129.45 | 129.84 | 8768769 
17:45 | 129.84 | 130.03 | 129.75 | 129.91 | 5651706 
18:00 | 129.92 | 129.95 | 129.31 | 129.90 | 6395160 
18:15 | 129.90 | 130.48 | 129.70 | 130.46 | 7044981 
18:30 | 130.45 | 130.79 | 130.09 | 130.74 | 6082641 
18:45 | 130.74 | 131.00 | 130.57 | 130.64 | 5759934 
19:00 | 130.63 | 130.87 | 130.45 | 130.77 | 3990851 
19:15 | 130.78 | 130.97 | 130.70 | 130.84 | 3620847 
19:30 | 130.84 | 131.22 | 130.74 | 130.82 | 5875485 
19:45 | 130.83 | 131.07 | 130.22 | 130.24 | 5328337 
20:00 | 130.25 | 130.35 | 129.87 | 130.00 | 6603604 
20:15 | 130.00 | 130.50 | 129.86 | 130.44 | 5007354 
20:30 | 130.45 | 130.47 | 129.85 | 129.92 | 4925070 
20:45 | 129.93 | 130.49 | 129.72 | 130.47 | 5432141 
21:00 | 130.47 | 130.68 | 130.11 | 130.15 | 5403247 
21:15 | 130.15 | 130.33 | 129.90 | 130.22 | 5115406 
21:30 | 130.22 | 130.42 | 130.04 | 130.30 | 5921902 
21:45 | 130.30 | 130.49 | 129.82 | 129.84 | 12480577 
15:30 | 133.21 | 134.86 | 132.75 | 133.64 | 28072544 
15:45 | 133.65 | 133.71 | 131.94 | 132.67 | 16075027 
16:00 | 132.67 | 133.15 | 132.11 | 132.61 | 10924948 
16:15 | 132.60 | 132.74 | 131.68 | 132.66 | 8953140 
16:30 | 132.64 | 132.96 | 132.37 | 132.58 | 6210245 
16:45 | 132.58 | 133.78 | 132.50 | 133.52 | 8157986 
17:00 | 133.52 | 134.16 | 133.00 | 134.10 | 8678649 
RESULTADO: EXITO
============================================================


============================================================
ANALISIS: NVDA | C1_SQUEEZE_CALL | ENTRADA: 136.75 | TP: 138.25 | SL: 132.25
Hora  |  Open  |  High  |  Low   |  Close |  Vol
17:00 | 133.65 | 133.71 | 133.30 | 133.36 | 4401068 
17:15 | 133.35 | 133.82 | 133.32 | 133.78 | 3646310 
17:30 | 133.78 | 133.88 | 133.64 | 133.70 | 3024289 
17:45 | 133.69 | 134.26 | 133.64 | 134.14 | 4147141 
18:00 | 134.13 | 134.16 | 133.78 | 133.90 | 2701367 
18:15 | 133.90 | 134.13 | 133.72 | 134.08 | 3111738 
18:30 | 134.09 | 134.43 | 134.04 | 134.31 | 3084032 
18:45 | 134.31 | 134.39 | 134.15 | 134.16 | 2122967 
19:00 | 134.16 | 134.44 | 134.10 | 134.19 | 2890753 
19:15 | 134.19 | 134.24 | 134.03 | 134.11 | 2441726 
19:30 | 134.10 | 134.22 | 133.89 | 134.16 | 2985089 
19:45 | 134.15 | 134.20 | 133.82 | 134.00 | 2712163 
20:00 | 134.00 | 134.24 | 133.96 | 134.05 | 2576895 
20:15 | 134.06 | 134.16 | 133.37 | 133.45 | 3889006 
20:30 | 133.45 | 133.92 | 133.40 | 133.70 | 3760550 
20:45 | 133.70 | 133.78 | 133.52 | 133.64 | 2673087 
21:00 | 133.63 | 133.77 | 133.03 | 133.69 | 4593623 
21:15 | 133.70 | 133.89 | 133.57 | 133.81 | 3139734 
21:30 | 133.82 | 134.28 | 133.81 | 133.92 | 4877710 
21:45 | 133.93 | 134.46 | 133.80 | 134.38 | 7630815 
15:30 | 133.04 | 134.28 | 133.00 | 134.17 | 11795686 
15:45 | 134.18 | 134.90 | 133.95 | 134.36 | 8691397 
16:00 | 134.35 | 134.66 | 133.74 | 133.85 | 7187469 
16:15 | 133.86 | 134.34 | 133.75 | 134.09 | 5308062 
16:30 | 134.09 | 134.35 | 133.77 | 134.17 | 5044828 
16:45 | 134.18 | 134.86 | 134.09 | 134.84 | 5059937 
17:00 | 134.84 | 135.52 | 134.67 | 135.46 | 7739907 [ENTRADA]
17:15 | 135.46 | 135.98 | 135.32 | 135.88 | 6471159 
17:30 | 135.88 | 136.65 | 135.72 | 136.61 | 7459646 
17:45 | 136.60 | 137.02 | 136.31 | 136.75 | 9137337 
18:00 | 136.75 | 137.40 | 136.70 | 136.94 | 8191352 
18:15 | 136.94 | 137.15 | 136.73 | 137.09 | 5464228 
18:30 | 137.09 | 137.25 | 137.03 | 137.17 | 4017408 
18:45 | 137.18 | 137.40 | 136.88 | 136.93 | 5190740 
19:00 | 136.93 | 137.08 | 136.31 | 136.44 | 6146113 
19:15 | 136.43 | 136.49 | 133.11 | 133.22 | 14195944 
19:30 | 133.23 | 134.22 | 132.81 | 133.38 | 12635714 
19:45 | 133.37 | 133.84 | 132.71 | 133.38 | 8511406 
20:00 | 133.38 | 133.53 | 132.72 | 132.95 | 7520186 
20:15 | 132.94 | 133.17 | 132.28 | 132.84 | 7775731 
20:30 | 132.84 | 133.45 | 132.78 | 133.26 | 5822941 
20:45 | 133.26 | 133.32 | 132.40 | 132.52 | 5385458 
21:00 | 132.53 | 132.75 | 131.34 | 131.74 | 8433774 
21:15 | 131.74 | 131.82 | 130.59 | 131.08 | 9804327 
21:30 | 131.08 | 132.15 | 131.07 | 132.06 | 9082790 
21:45 | 132.05 | 132.57 | 131.73 | 131.73 | 11021492 
15:30 | 132.22 | 133.27 | 131.55 | 131.79 | 14759173 
15:45 | 131.79 | 133.63 | 131.72 | 133.47 | 10208465 
16:00 | 133.49 | 133.95 | 132.77 | 132.87 | 9785060 
16:15 | 132.88 | 133.25 | 132.53 | 133.04 | 7528564 
16:30 | 133.04 | 133.44 | 132.63 | 132.80 | 6255996 
16:45 | 132.79 | 133.25 | 132.53 | 133.14 | 5591516 
17:00 | 133.14 | 133.50 | 133.06 | 133.24 | 5247702 
RESULTADO: FALLO
============================================================


============================================================
ANALISIS: MSFT | C1_SQUEEZE_CALL | ENTRADA: 474.96 | TP: 476.46 | SL: 471.96
Hora  |  Open  |  High  |  Low   |  Close |  Vol
16:00 | 470.11 | 470.93 | 469.64 | 469.95 | 401189 
16:15 | 469.93 | 470.45 | 469.31 | 469.87 | 281127 
16:30 | 469.85 | 470.03 | 468.97 | 469.61 | 308262 
16:45 | 469.67 | 469.72 | 468.96 | 469.03 | 183611 
17:00 | 469.05 | 469.30 | 468.58 | 468.99 | 252498 
17:15 | 469.00 | 469.33 | 468.28 | 469.05 | 263804 
17:30 | 469.04 | 469.10 | 466.96 | 468.56 | 465765 
17:45 | 468.55 | 468.74 | 468.33 | 468.54 | 134316 
18:00 | 468.54 | 469.47 | 468.49 | 469.26 | 172314 
18:15 | 469.31 | 469.66 | 469.21 | 469.51 | 100626 
18:30 | 469.52 | 469.65 | 469.26 | 469.34 | 102807 
18:45 | 469.34 | 469.90 | 469.34 | 469.78 | 143606 
19:00 | 469.78 | 470.18 | 469.39 | 470.02 | 168643 
19:15 | 470.03 | 470.09 | 469.39 | 469.50 | 99140 
19:30 | 469.49 | 469.50 | 469.11 | 469.20 | 104914 
19:45 | 469.20 | 469.35 | 468.74 | 468.77 | 91612 
20:00 | 468.77 | 468.77 | 467.91 | 468.42 | 159737 
20:15 | 468.44 | 468.50 | 468.08 | 468.23 | 177169 
20:30 | 468.23 | 468.89 | 468.20 | 468.72 | 168012 
20:45 | 468.70 | 470.41 | 468.69 | 469.87 | 261792 
21:00 | 469.91 | 470.65 | 469.84 | 470.29 | 251557 
21:15 | 470.29 | 470.50 | 469.75 | 470.24 | 248663 
21:30 | 470.27 | 470.95 | 469.71 | 470.07 | 476237 
21:45 | 470.15 | 471.03 | 469.84 | 470.93 | 693951 
15:30 | 470.48 | 472.75 | 469.65 | 472.43 | 857174 
15:45 | 472.44 | 473.50 | 471.63 | 473.08 | 514503 
16:00 | 473.06 | 474.03 | 472.55 | 473.86 | 347825 [ENTRADA]
16:15 | 473.84 | 474.92 | 473.69 | 474.67 | 434736 
16:30 | 474.69 | 475.47 | 474.37 | 475.44 | 472292 
16:45 | 475.38 | 475.44 | 474.39 | 474.96 | 343491 
17:00 | 474.98 | 475.35 | 474.08 | 474.74 | 217365 
17:15 | 474.78 | 475.35 | 474.66 | 474.74 | 170636 
17:30 | 474.70 | 474.97 | 474.32 | 474.38 | 181346 
17:45 | 474.41 | 474.95 | 473.67 | 473.89 | 319254 
18:00 | 473.91 | 474.00 | 473.36 | 473.80 | 176305 
18:15 | 473.78 | 474.20 | 473.24 | 474.05 | 191011 
18:30 | 474.09 | 474.46 | 474.02 | 474.24 | 131593 
18:45 | 474.24 | 474.72 | 474.18 | 474.54 | 103288 
19:00 | 474.53 | 475.20 | 474.36 | 474.59 | 227400 
19:15 | 474.59 | 474.83 | 474.45 | 474.57 | 194950 
19:30 | 474.60 | 474.78 | 473.22 | 473.60 | 200387 
19:45 | 473.62 | 473.67 | 472.90 | 473.16 | 175991 
20:00 | 473.11 | 473.29 | 471.57 | 471.73 | 281370 
20:15 | 471.63 | 472.25 | 470.95 | 471.85 | 180000 
20:30 | 471.82 | 472.97 | 471.31 | 472.86 | 182337 
20:45 | 472.88 | 472.94 | 471.93 | 472.04 | 137314 
21:00 | 472.05 | 472.37 | 471.57 | 472.13 | 153362 
21:15 | 472.12 | 472.80 | 471.60 | 472.18 | 212001 
21:30 | 472.17 | 472.45 | 471.69 | 472.32 | 131268 
21:45 | 472.32 | 473.00 | 472.06 | 472.90 | 758421 
15:30 | 475.02 | 475.96 | 473.52 | 475.58 | 1161278 
15:45 | 475.52 | 476.09 | 474.45 | 475.10 | 329442 
16:00 | 475.04 | 477.02 | 474.77 | 476.47 | 592769 
RESULTADO: FALLO
============================================================


============================================================
ANALISIS: NVDA | C1_SQUEEZE_CALL | ENTRADA: 141.94 | TP: 143.44 | SL: 137.44
Hora  |  Open  |  High  |  Low   |  Close |  Vol
16:00 | 136.32 | 136.55 | 135.86 | 136.30 | 8565052 
16:15 | 136.30 | 136.76 | 135.95 | 136.66 | 6509488 
16:30 | 136.66 | 137.18 | 136.40 | 136.56 | 6617307 
16:45 | 136.56 | 136.60 | 136.00 | 136.40 | 4891670 
17:00 | 136.41 | 136.75 | 136.18 | 136.52 | 5080386 
17:15 | 136.53 | 136.58 | 136.23 | 136.46 | 3191143 
17:30 | 136.46 | 137.19 | 136.36 | 137.07 | 4249467 
17:45 | 137.07 | 137.43 | 137.01 | 137.29 | 4510844 
18:00 | 137.28 | 137.43 | 137.14 | 137.24 | 3554031 
18:15 | 137.24 | 137.64 | 137.20 | 137.41 | 3969176 
18:30 | 137.40 | 137.53 | 137.06 | 137.14 | 3060671 
18:45 | 137.14 | 137.58 | 137.11 | 137.40 | 2766236 
19:00 | 137.41 | 137.72 | 137.33 | 137.52 | 3707448 
19:15 | 137.53 | 137.74 | 137.46 | 137.57 | 2678315 
19:30 | 137.56 | 137.82 | 137.50 | 137.63 | 3230395 
19:45 | 137.62 | 137.65 | 137.33 | 137.58 | 2794228 
20:00 | 137.58 | 137.64 | 137.12 | 137.44 | 3009599 
20:15 | 137.44 | 138.12 | 137.43 | 138.03 | 5133942 
20:30 | 138.04 | 138.05 | 137.76 | 137.87 | 3123980 
20:45 | 137.87 | 138.02 | 137.74 | 137.94 | 2489021 
21:00 | 137.94 | 137.97 | 137.63 | 137.71 | 2920368 
21:15 | 137.71 | 137.77 | 137.51 | 137.63 | 3609542 
21:30 | 137.63 | 137.64 | 137.32 | 137.37 | 3460331 
21:45 | 137.36 | 137.70 | 136.96 | 137.37 | 8486902 
15:30 | 138.81 | 139.05 | 137.95 | 138.97 | 14684931 
15:45 | 138.97 | 140.45 | 138.85 | 140.33 | 14076528 
16:00 | 140.33 | 141.30 | 140.33 | 141.25 | 16204320 [ENTRADA]
16:15 | 141.25 | 141.50 | 141.06 | 141.30 | 11510601 
16:30 | 141.29 | 141.56 | 140.88 | 141.24 | 8911856 
16:45 | 141.24 | 141.97 | 141.13 | 141.94 | 7276896 
17:00 | 141.94 | 142.00 | 141.55 | 141.60 | 6759153 
17:15 | 141.61 | 141.88 | 141.42 | 141.82 | 4606728 
17:30 | 141.81 | 141.94 | 141.49 | 141.74 | 4236473 
17:45 | 141.74 | 141.83 | 141.08 | 141.47 | 5623784 
18:00 | 141.46 | 141.73 | 141.32 | 141.61 | 3819691 
18:15 | 141.61 | 141.70 | 141.36 | 141.56 | 3044601 
18:30 | 141.57 | 141.86 | 141.55 | 141.62 | 3431947 
18:45 | 141.61 | 141.80 | 141.56 | 141.74 | 2188478 
19:00 | 141.74 | 141.77 | 141.55 | 141.56 | 2465245 
19:15 | 141.56 | 141.74 | 141.56 | 141.62 | 2692043 
19:30 | 141.62 | 141.62 | 141.15 | 141.28 | 3335858 
19:45 | 141.28 | 141.50 | 141.08 | 141.11 | 3410159 
20:00 | 141.11 | 141.15 | 140.26 | 140.39 | 6640631 
20:15 | 140.40 | 141.17 | 140.30 | 141.16 | 4938849 
20:30 | 141.16 | 141.23 | 140.91 | 141.22 | 4198758 
20:45 | 141.22 | 141.44 | 141.04 | 141.43 | 2820238 
21:00 | 141.43 | 141.53 | 141.19 | 141.26 | 3396757 
21:15 | 141.27 | 141.49 | 141.24 | 141.45 | 3146406 
21:30 | 141.45 | 141.45 | 141.11 | 141.14 | 4175708 
21:45 | 141.15 | 141.48 | 141.04 | 141.27 | 10759407 
15:30 | 142.19 | 142.39 | 141.25 | 141.49 | 15694864 
15:45 | 141.48 | 141.88 | 140.78 | 141.16 | 8443426 
16:00 | 141.10 | 141.16 | 139.54 | 140.72 | 12029675 
RESULTADO: EN CURSO
============================================================


============================================================
ANALISIS: MSFT | C1_SQUEEZE_CALL | ENTRADA: 486.79 | TP: 488.29 | SL: 483.79
Hora  |  Open  |  High  |  Low   |  Close |  Vol
19:00 | 480.21 | 480.77 | 479.80 | 480.76 | 121640 
19:15 | 480.71 | 481.42 | 478.80 | 478.84 | 169291 
19:30 | 478.81 | 478.98 | 478.29 | 478.61 | 219534 
19:45 | 478.56 | 478.78 | 478.12 | 478.54 | 151520 
20:00 | 478.53 | 479.19 | 478.31 | 478.38 | 184262 
20:15 | 478.34 | 478.91 | 478.24 | 478.74 | 157913 
20:30 | 478.80 | 478.94 | 478.34 | 478.46 | 109065 
20:45 | 478.41 | 478.60 | 477.36 | 477.56 | 170458 
21:00 | 477.51 | 478.03 | 477.30 | 477.76 | 181990 
21:15 | 477.77 | 478.08 | 477.14 | 477.34 | 150124 
21:30 | 477.38 | 477.67 | 476.96 | 477.30 | 348785 
21:45 | 477.27 | 478.80 | 476.87 | 477.23 | 1334968 
15:30 | 478.21 | 478.21 | 472.51 | 474.60 | 1226848 
15:45 | 474.59 | 475.68 | 473.82 | 475.39 | 499845 
16:00 | 475.42 | 476.56 | 475.41 | 476.10 | 550367 
16:15 | 476.08 | 476.81 | 475.44 | 475.65 | 286374 
16:30 | 475.65 | 476.78 | 475.27 | 476.76 | 335333 
16:45 | 476.73 | 477.13 | 476.56 | 476.91 | 539024 
17:00 | 476.92 | 479.30 | 476.86 | 479.08 | 434668 
17:15 | 479.02 | 479.55 | 478.61 | 478.84 | 419216 
17:30 | 478.88 | 479.90 | 478.74 | 479.58 | 293618 
17:45 | 479.50 | 481.30 | 479.16 | 480.09 | 508817 
18:00 | 480.06 | 481.51 | 479.82 | 481.08 | 271475 
18:15 | 481.05 | 481.64 | 480.41 | 480.63 | 467965 
18:30 | 480.60 | 481.42 | 478.70 | 481.09 | 393237 
18:45 | 481.09 | 481.86 | 480.64 | 481.02 | 273037 
19:00 | 481.04 | 483.64 | 480.56 | 483.38 | 558738 [ENTRADA]
19:15 | 483.40 | 486.33 | 483.35 | 485.94 | 812501 
19:30 | 486.04 | 487.50 | 485.79 | 487.17 | 503838 
19:45 | 487.17 | 487.59 | 486.45 | 486.79 | 380415 
20:00 | 486.87 | 487.75 | 486.60 | 487.01 | 462585 
20:15 | 486.98 | 487.41 | 486.67 | 486.77 | 282274 
20:30 | 486.81 | 487.50 | 486.57 | 486.69 | 291591 
20:45 | 486.65 | 486.88 | 485.79 | 486.10 | 246010 
21:00 | 486.04 | 486.60 | 485.16 | 485.86 | 262768 
21:15 | 485.90 | 486.51 | 485.37 | 486.47 | 277785 
21:30 | 486.50 | 486.50 | 485.68 | 485.84 | 289670 
21:45 | 485.84 | 487.10 | 485.00 | 485.92 | 1039672 
15:30 | 488.95 | 489.66 | 487.78 | 488.41 | 836586 
15:45 | 488.46 | 488.64 | 486.79 | 487.53 | 563717 
16:00 | 487.63 | 488.19 | 487.10 | 487.66 | 377167 
16:15 | 487.61 | 488.17 | 487.50 | 487.55 | 230813 
16:30 | 487.57 | 488.35 | 487.46 | 488.14 | 303493 
16:45 | 488.13 | 489.53 | 488.09 | 489.00 | 572424 
17:00 | 489.02 | 490.41 | 488.99 | 490.33 | 533899 
17:15 | 490.33 | 490.58 | 489.71 | 490.57 | 274873 
17:30 | 490.55 | 491.27 | 489.77 | 490.67 | 537279 
17:45 | 490.61 | 491.49 | 490.45 | 491.21 | 392603 
18:00 | 491.18 | 491.19 | 490.18 | 490.65 | 216772 
18:15 | 490.72 | 491.16 | 490.41 | 490.71 | 221030 
18:30 | 490.70 | 491.36 | 490.45 | 491.28 | 280235 
18:45 | 491.29 | 491.41 | 490.07 | 490.28 | 253143 
19:00 | 490.28 | 490.58 | 489.94 | 490.39 | 221387 
RESULTADO: FALLO
============================================================


============================================================
ANALISIS: NVDA | C1_SQUEEZE_CALL | ENTRADA: 152.82 | TP: 154.32 | SL: 148.32
Hora  |  Open  |  High  |  Low   |  Close |  Vol
16:00 | 147.13 | 147.23 | 146.05 | 146.38 | 8529977 
16:15 | 146.38 | 147.11 | 146.37 | 147.02 | 6327438 
16:30 | 147.02 | 147.35 | 146.80 | 147.19 | 4792081 
16:45 | 147.19 | 147.43 | 146.90 | 147.06 | 4296126 
17:00 | 147.06 | 147.28 | 146.91 | 147.05 | 4097446 
17:15 | 147.05 | 147.09 | 146.82 | 146.90 | 2791924 
17:30 | 146.91 | 146.96 | 146.63 | 146.92 | 2982121 
17:45 | 146.93 | 146.96 | 146.55 | 146.67 | 2435126 
18:00 | 146.67 | 146.81 | 146.65 | 146.77 | 1832347 
18:15 | 146.77 | 147.20 | 146.74 | 147.17 | 2861141 
18:30 | 147.17 | 147.43 | 147.06 | 147.35 | 3105433 
18:45 | 147.36 | 147.39 | 147.00 | 147.10 | 2713196 
19:00 | 147.11 | 147.43 | 147.09 | 147.31 | 2365084 
19:15 | 147.31 | 147.45 | 147.02 | 147.19 | 2840365 
19:30 | 147.19 | 147.50 | 147.18 | 147.41 | 2864476 
19:45 | 147.40 | 147.59 | 147.38 | 147.46 | 2727143 
20:00 | 147.46 | 147.60 | 147.30 | 147.34 | 2615081 
20:15 | 147.35 | 147.50 | 147.30 | 147.35 | 1874582 
20:30 | 147.36 | 147.40 | 147.17 | 147.33 | 2435574 
20:45 | 147.33 | 147.48 | 147.21 | 147.39 | 2109447 
21:00 | 147.40 | 147.50 | 147.31 | 147.49 | 2186195 
21:15 | 147.50 | 147.54 | 147.22 | 147.23 | 2647837 
21:30 | 147.22 | 147.43 | 147.18 | 147.33 | 3262149 
21:45 | 147.33 | 147.96 | 147.21 | 147.83 | 12464350 
15:30 | 149.29 | 151.43 | 149.26 | 151.25 | 27504238 
15:45 | 151.26 | 151.88 | 150.71 | 151.37 | 12346533 
16:00 | 151.37 | 151.97 | 150.90 | 151.52 | 9621654 [ENTRADA]
16:15 | 151.52 | 152.54 | 151.45 | 152.21 | 10919067 
16:30 | 152.21 | 152.96 | 152.18 | 152.96 | 9122647 
16:45 | 152.96 | 153.00 | 152.30 | 152.82 | 7309420 
17:00 | 152.82 | 152.85 | 151.53 | 151.55 | 7272399 
17:15 | 151.55 | 152.32 | 151.55 | 152.05 | 5443454 
17:30 | 152.04 | 152.08 | 151.49 | 151.78 | 4511119 
17:45 | 151.78 | 152.15 | 151.47 | 151.53 | 3790822 
18:00 | 151.52 | 151.83 | 151.39 | 151.82 | 3426472 
18:15 | 151.83 | 152.20 | 151.73 | 152.14 | 3708493 
18:30 | 152.14 | 152.44 | 151.97 | 152.38 | 3192298 
18:45 | 152.36 | 152.88 | 152.19 | 152.86 | 4659867 
19:00 | 152.86 | 152.98 | 152.69 | 152.96 | 5129079 
19:15 | 152.96 | 153.93 | 152.95 | 153.90 | 10626155 
19:30 | 153.90 | 153.95 | 153.18 | 153.48 | 6954710 
19:45 | 153.49 | 153.75 | 153.32 | 153.59 | 4280758 
20:00 | 153.60 | 153.88 | 153.49 | 153.76 | 4525603 
20:15 | 153.76 | 154.00 | 153.63 | 153.94 | 4942554 
20:30 | 153.94 | 153.96 | 153.36 | 153.47 | 4309286 
20:45 | 153.48 | 153.90 | 153.39 | 153.71 | 4192435 
21:00 | 153.72 | 154.45 | 153.67 | 154.34 | 7476020 
21:15 | 154.34 | 154.42 | 153.64 | 153.75 | 6295483 
21:30 | 153.75 | 153.92 | 153.33 | 153.89 | 7058568 
21:45 | 153.89 | 154.41 | 153.57 | 154.31 | 13112733 
15:30 | 155.97 | 156.01 | 154.15 | 154.95 | 20020629 
15:45 | 154.96 | 155.83 | 154.00 | 155.77 | 11428624 
16:00 | 155.77 | 156.24 | 155.22 | 155.85 | 10771815 
RESULTADO: EXITO
============================================================


============================================================
ANALISIS: MSFT | C1_SQUEEZE_CALL | ENTRADA: 507.08 | TP: 508.58 | SL: 504.08
Hora  |  Open  |  High  |  Low   |  Close |  Vol
17:00 | 502.86 | 503.55 | 502.74 | 503.41 | 262671 
17:15 | 503.42 | 503.97 | 502.74 | 503.01 | 159911 
17:30 | 503.03 | 503.04 | 502.50 | 502.57 | 134507 
17:45 | 502.61 | 503.06 | 502.35 | 502.93 | 117242 
