ticker,company,sector,market_cap_b,pe_ratio,dividend_yield,beta,avg_volume_m,description
CAG,ConAgra Brands,Consumer Staples,14,14.5,4.2,0.5,3.5,Packaged foods
CAH,Cardinal Health,Healthcare,28,22.5,1.8,0.5,2.5,Healthcare distribution
CARR,Carrier Global,Industrials,55,35.5,1.2,1.1,3.5,HVAC refrigeration
CAT,Caterpillar Inc,Industrials,155,16.5,2.0,1.1,3.5,Construction mining equipment
CB,Chubb Ltd,Financials,105,13.5,1.5,0.8,2.0,Insurance property casualty
CBOE,Cboe Global Markets,Financials,22,28.5,1.5,0.8,1.0,Options exchange operator
CBRE,CBRE Group,Real Estate,28,22.5,0.0,1.1,2.0,Commercial real estate
CCI,Crown Castle,Real Estate,48,35.5,5.5,0.7,2.5,REIT cell towers fiber
CCL,Carnival Corp,Consumer Discretionary,28,15.5,0.0,2.0,25.0,Cruise line operator
CDNS,Cadence Design,Technology,75,65.5,0.0,1.2,1.5,EDA software semiconductors
CDW,CDW Corp,Technology,28,22.5,1.2,1.0,1.2,IT solutions provider
CE,Celanese Corp,Materials,12,15.5,2.5,1.2,1.5,Chemicals specialty
CEG,Constellation Energy,Utilities,75,28.5,0.6,0.8,3.5,Electric power nuclear
CF,CF Industries,Materials,15,12.5,1.8,1.0,2.5,Nitrogen fertilizer
CFG,Citizens Financial,Financials,18,11.5,3.5,1.3,5.5,Regional bank
CHD,Church Dwight,Consumer Staples,25,35.5,1.0,0.5,1.5,Consumer household products
CHRW,CH Robinson,Industrials,12,22.5,2.5,0.9,1.5,Third-party logistics
CHTR,Charter Communications,Communication,55,15.5,0.0,0.8,1.5,Cable broadband
CI,Cigna Group,Healthcare,95,15.5,1.8,0.6,2.5,Health insurance pharmacy
CINF,Cincinnati Financial,Financials,20,22.5,2.5,0.8,0.8,Insurance property casualty
CL,Colgate-Palmolive,Consumer Staples,75,35.5,2.2,0.5,4.5,Consumer products oral care
CLX,Clorox Co,Consumer Staples,22,45.5,3.0,0.4,1.5,Consumer household cleaning
CMCSA,Comcast Corp,Communication,165,11.5,2.8,0.9,18.5,Broadband media cable
CME,CME Group,Financials,85,28.5,3.5,0.6,2.0,Derivatives exchange
CMG,Chipotle Mexican Grill,Consumer Discretionary,85,55.5,0.0,1.2,0.5,Restaurant fast casual
CMI,Cummins Inc,Industrials,38,15.5,2.5,1.0,1.5,Engines power generation
CMS,CMS Energy,Utilities,18,20.5,3.0,0.4,1.5,Electric gas utility
CNC,Centene Corp,Healthcare,35,12.5,0.0,0.8,4.5,Managed healthcare
CNP,CenterPoint Energy,Utilities,20,21.5,2.5,0.5,3.5,Electric gas utility
COF,Capital One Financial,Financials,65,13.5,1.8,1.3,3.5,Credit card banking
COIN,Coinbase Global,Financials,65,35.5,0.0,3.2,8.5,Cryptocurrency exchange
COO,CooperCompanies,Healthcare,18,35.5,0.0,0.7,0.5,Medical devices contact lenses
COP,ConocoPhillips,Energy,135,12.5,2.8,1.2,8.5,Oil gas exploration
COR,Cencora Inc,Healthcare,55,35.5,1.2,0.6,2.0,Pharmaceutical distribution
COST,Costco Wholesale,Consumer Staples,385,55.5,0.5,0.8,2.5,Warehouse club retail
CPAY,Corpay Inc,Financials,22,22.5,0.0,1.0,0.8,Payment solutions
CPB,Campbell Soup,Consumer Staples,14,18.5,3.2,0.5,2.5,Packaged food soups
CPRT,Copart Inc,Industrials,55,35.5,0.0,1.1,1.5,Vehicle auction salvage
CPT,Camden Property,Real Estate,15,35.5,3.5,0.8,0.8,REIT apartments
CRL,Charles River Labs,Healthcare,12,22.5,0.0,1.1,1.5,Preclinical research
CRM,Salesforce Inc,Technology,295,45.5,0.0,1.1,6.5,CRM cloud software
CRWD,CrowdStrike,Technology,85,485.5,0.0,1.3,3.5,Cybersecurity endpoint
CSGP,CoStar Group,Real Estate,35,75.5,0.0,1.1,1.5,Real estate data analytics
CSX,CSX Corp,Industrials,75,22.5,1.2,0.9,9.0,Railroad freight
CTAS,Cintas Corp,Industrials,75,45.5,1.0,1.0,0.8,Uniform facility services
CTRA,Coterra Energy,Energy,22,12.5,3.0,1.2,7.5,Oil gas E P
CTSH,Cognizant Technology,Technology,35,18.5,1.5,1.0,2.5,IT services consulting
CTVA,Corteva Inc,Consumer Staples,38,22.5,1.5,0.9,3.5,Agriculture seeds crop
CVS,CVS Health,Healthcare,85,12.5,3.5,0.6,8.5,Pharmacy retail health
CVNA,Carvana Co,Consumer Discretionary,18,0,0.0,3.5,8.5,Online used car retailer
CVX,Chevron Corp,Energy,285,14.5,4.2,0.9,9.0,Integrated oil major
CZR,Caesars Entertainment,Consumer Discretionary,10,18.5,0.0,1.5,4.0,Casino resort gaming
D,Dominion Energy,Utilities,45,21.5,4.5,0.5,3.5,Electric gas utility
DAL,Delta Air Lines,Industrials,38,9.5,0.0,1.3,9.5,Major US airline
DD,DuPont de Nemours,Materials,35,22.5,1.8,1.0,2.5,Specialty chemicals
DDOG,Datadog Inc,Technology,45,285.5,0.0,1.2,2.5,Cloud monitoring SaaS
DE,Deere Co,Industrials,115,15.5,1.5,1.0,1.5,Agricultural machinery
DECK,Deckers Outdoor,Consumer Discretionary,25,35.5,0.0,1.1,1.2,Footwear UGG HOKA
DELL,Dell Technologies,Technology,95,22.5,1.5,1.1,5.5,Computer hardware IT
DG,Dollar General,Consumer Staples,35,22.5,1.5,0.9,3.5,Discount retail
DGX,Quest Diagnostics,Healthcare,20,22.5,1.8,0.6,1.2,Clinical laboratory
DHI,DR Horton,Consumer Discretionary,55,11.5,1.0,1.3,3.0,Homebuilding
DHR,Danaher Corp,Healthcare,185,45.5,0.4,0.8,3.5,Life sciences diagnostics
DIA,SPDR Dow Jones ETF,ETF,0,0,1.5,1.0,3.5,ETF tracking Dow Jones
DIS,Walt Disney Co,Communication,175,65.5,0.0,1.2,9.5,Entertainment media parks
DLR,Digital Realty,Real Estate,55,45.5,3.5,0.7,1.5,REIT data centers
DLTR,Dollar Tree,Consumer Staples,28,22.5,0.0,0.9,3.5,Discount variety retail
DOC,Healthpeak Properties,Real Estate,12,35.5,4.5,0.8,2.5,REIT medical offices
DOV,Dover Corp,Industrials,25,18.5,1.2,1.1,1.2,Diversified industrial
DOW,Dow Inc,Materials,35,15.5,5.0,1.2,5.0,Chemicals materials
DPZ,Dominos Pizza,Consumer Discretionary,18,35.5,1.2,1.0,0.8,Restaurant pizza delivery
DRI,Darden Restaurants,Consumer Discretionary,22,22.5,3.5,1.0,1.0,Restaurant Olive Garden
DTE,DTE Energy,Utilities,25,21.5,3.2,0.4,1.5,Electric gas utility
DUK,Duke Energy,Utilities,85,21.5,3.8,0.4,3.5,Electric utility
DVA,DaVita Inc,Healthcare,12,18.5,0.0,1.2,1.0,Dialysis healthcare
DVN,Devon Energy,Energy,35,11.5,6.5,1.4,7.5,Oil gas exploration
DXCM,Dexcom Inc,Healthcare,35,185.5,0.0,1.0,3.0,Medical devices CGM
EA,Electronic Arts,Communication,45,35.5,0.5,1.0,2.5,Video games publisher
EBAY,eBay Inc,Consumer Discretionary,35,15.5,1.5,1.1,4.5,Online marketplace
ECL,Ecolab Inc,Materials,65,45.5,1.0,0.8,1.5,Water hygiene services
ED,Consolidated Edison,Utilities,35,21.5,3.5,0.3,2.0,Electric gas utility NYC
EFX,Equifax Inc,Industrials,35,45.5,0.7,1.0,1.0,Credit reporting agency
EG,Everest Group,Financials,15,11.5,2.5,0.8,0.5,Insurance reinsurance
EIX,Edison International,Utilities,28,18.5,4.0,0.5,2.5,Electric utility California
EL,Estee Lauder,Consumer Staples,35,45.5,1.5,1.1,2.5,Cosmetics beauty
ELV,Elevance Health,Healthcare,105,18.5,1.5,0.6,1.8,Managed healthcare
EMN,Eastman Chemical,Materials,12,12.5,3.5,1.1,1.2,Specialty chemicals
EMR,Emerson Electric,Industrials,65,25.5,2.0,1.1,2.5,Automation technology
ENPH,Enphase Energy,Technology,18,45.5,0.0,1.8,5.5,Solar microinverters
EOG,EOG Resources,Energy,75,12.5,2.8,1.3,5.5,Oil gas exploration
EPAM,EPAM Systems,Technology,18,35.5,0.0,1.3,1.0,Software engineering
EQIX,Equinix Inc,Real Estate,75,85.5,1.8,0.8,0.8,REIT data centers
EQT,EQT Corp,Energy,22,15.5,1.0,1.2,7.5,Natural gas production
ERIE,Erie Indemnity,Financials,22,45.5,1.5,0.7,0.4,Insurance agency
ES,Eversource Energy,Utilities,25,21.5,3.8,0.4,2.0,Electric gas utility
ESS,Essex Property,Real Estate,18,35.5,3.5,0.8,0.6,REIT apartments West
ETN,Eaton Corp,Industrials,125,35.5,1.0,1.2,2.5,Power management electrical
ETR,Entergy Corp,Utilities,25,18.5,3.5,0.5,1.8,Electric utility
ETSY,Etsy Inc,Consumer Discretionary,8,22.5,0.0,1.5,3.5,Online marketplace crafts
EVRG,Evergy Inc,Utilities,15,18.5,3.2,0.4,1.8,Electric utility
EW,Edwards Lifesciences,Healthcare,48,35.5,0.0,0.7,3.5,Medical devices cardiac
EXC,Exelon Corp,Utilities,42,21.5,3.0,0.5,5.5,Electric utility
EXPD,Expeditors Intl,Industrials,18,22.5,1.2,0.9,1.5,Freight forwarding
EXPE,Expedia Group,Consumer Discretionary,22,18.5,0.0,1.4,2.5,Online travel booking
EXR,Extra Space Storage,Real Estate,22,35.5,4.5,0.8,1.2,REIT self-storage
F,Ford Motor Co,Consumer Discretionary,42,12.5,5.0,1.4,55.0,Automaker
FANG,Diamondback Energy,Energy,35,11.5,5.5,1.4,3.5,Oil gas Permian
FAST,Fastenal Co,Industrials,45,35.5,2.5,0.9,1.5,Industrial retail
FCX,Freeport-McMoRan,Materials,58,22.5,1.5,1.6,15.0,Copper gold mining
FDS,FactSet Research,Financials,18,35.5,0.8,0.9,0.5,Financial data analytics
FDX,FedEx Corp,Industrials,75,18.5,1.8,1.1,3.0,Delivery logistics
FE,FirstEnergy Corp,Utilities,25,18.5,3.5,0.5,4.5,Electric utility
FFIV,F5 Inc,Technology,12,18.5,0.0,1.1,0.8,Application delivery
FICO,Fair Isaac Corp,Technology,45,85.5,0.0,1.0,0.5,Credit scoring analytics
FIS,Fidelity National Info,Technology,55,35.5,1.5,0.9,4.0,Payment processing
FITB,Fifth Third Bancorp,Financials,28,13.5,3.2,1.2,5.5,Regional bank
FMC,FMC Corp,Materials,8,12.5,2.5,1.2,2.0,Agricultural chemicals
FOX,Fox Corp Class B,Communication,22,18.5,1.2,1.1,2.5,Media broadcasting
FOXA,Fox Corp Class A,Communication,22,18.5,1.2,1.1,2.5,Media broadcasting
FRT,Federal Realty,Real Estate,10,35.5,4.2,0.9,0.6,REIT retail shopping
FSLR,First Solar,Technology,25,22.5,0.0,1.5,3.0,Solar panels utility
FTNT,Fortinet Inc,Technology,65,45.5,0.0,1.1,2.5,Cybersecurity network
FTV,Fortive Corp,Technology,28,35.5,0.4,1.1,2.0,Industrial technology
GD,General Dynamics,Industrials,75,22.5,2.0,0.8,1.2,Aerospace defense
GE,GE Aerospace,Industrials,215,45.5,0.5,1.2,4.5,Aerospace power
GEHC,GE HealthCare,Healthcare,45,28.5,0.2,1.0,2.5,Medical technology
GEN,Gen Digital,Technology,15,18.5,1.5,0.9,3.5,Cybersecurity Norton
GEV,GE Vernova,Industrials,75,45.5,0.3,1.2,2.5,Power renewable energy
GILD,Gilead Sciences,Healthcare,105,18.5,3.8,0.5,7.5,Biotechnology antivirals
GIS,General Mills,Consumer Staples,35,18.5,3.5,0.5,4.0,Packaged food cereal
GL,Globe Life Inc,Financials,10,9.5,1.5,0.8,1.0,Life insurance
GLW,Corning Inc,Technology,35,22.5,2.5,1.0,5.5,Glass ceramics optical
GM,General Motors,Consumer Discretionary,55,5.5,0.8,1.2,15.0,Automaker
GNRC,Generac Holdings,Industrials,9,22.5,0.0,1.2,1.5,Power generation backup
GOOG,Alphabet Class C,Communication,2100,28.5,0.0,1.1,25.0,Internet search cloud
GOOGL,Alphabet Class A,Communication,2100,28.5,0.0,1.1,22.0,Internet search cloud
GPN,Global Payments,Financials,35,22.5,1.0,1.1,2.5,Payment processing
GRMN,Garmin Ltd,Technology,35,35.5,2.0,1.0,1.2,GPS navigation devices
GS,Goldman Sachs,Financials,175,15.5,2.3,1.3,3.5,Investment banking
GWW,WW Grainger,Industrials,55,28.5,0.8,1.0,0.5,MRO industrial supply
HAL,Halliburton,Energy,28,12.5,2.5,1.3,8.0,Oil field services
HAS,Hasbro Inc,Consumer Discretionary,9,22.5,3.5,0.9,2.0,Toys gaming
HBAN,Huntington Bancshares,Financials,22,13.5,4.5,1.2,12.5,Regional bank
HCA,HCA Healthcare,Healthcare,85,18.5,0.8,0.9,1.8,Hospital operator
HD,Home Depot,Consumer Discretionary,385,28.5,2.3,1.0,4.5,Home improvement retail
HIG,Hartford Financial,Financials,32,13.5,2.5,0.9,2.0,Insurance property casualty
HII,Huntington Ingalls,Industrials,12,15.5,2.0,0.9,0.6,Military shipbuilding
HLT,Hilton Worldwide,Consumer Discretionary,65,35.5,0.3,1.3,2
